"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 08 20:48:15 GMT 2024","Fri Nov 08 20:48:18 GMT 2024","3619","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Nov 08 20:48:32 GMT 2024","Fri Nov 08 20:48:33 GMT 2024","1502","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Fri Nov 08 20:48:36 GMT 2024","Fri Nov 08 20:48:40 GMT 2024","3272","LMS system","Courses","Courses","","","Edit course",""
"passed","Fri Nov 08 20:48:26 GMT 2024","Fri Nov 08 20:48:28 GMT 2024","1394","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Fri Nov 08 20:48:40 GMT 2024","Fri Nov 08 20:48:45 GMT 2024","5676","LMS system","Courses","Courses","","","Edit course",""
"passed","Fri Nov 08 20:48:19 GMT 2024","Fri Nov 08 20:48:26 GMT 2024","6813","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Fri Nov 08 20:48:23 GMT 2024","Fri Nov 08 20:48:26 GMT 2024","3198","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Fri Nov 08 20:48:34 GMT 2024","Fri Nov 08 20:48:39 GMT 2024","4453","LMS system","Courses","Courses","","","Create course",""
"passed","Fri Nov 08 20:48:40 GMT 2024","Fri Nov 08 20:48:42 GMT 2024","1542","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Fri Nov 08 20:48:11 GMT 2024","Fri Nov 08 20:48:12 GMT 2024","1532","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Nov 08 20:48:11 GMT 2024","Fri Nov 08 20:48:12 GMT 2024","1556","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Nov 08 20:48:28 GMT 2024","Fri Nov 08 20:48:31 GMT 2024","3106","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Fri Nov 08 20:48:15 GMT 2024","Fri Nov 08 20:48:18 GMT 2024","3603","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Nov 08 20:48:13 GMT 2024","Fri Nov 08 20:48:14 GMT 2024","1242","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Nov 08 20:48:19 GMT 2024","Fri Nov 08 20:48:22 GMT 2024","3041","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Nov 08 20:48:26 GMT 2024","Fri Nov 08 20:48:27 GMT 2024","948","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Fri Nov 08 20:48:33 GMT 2024","Fri Nov 08 20:48:36 GMT 2024","2306","LMS system","Courses","Courses","","","Create course",""
"passed","Fri Nov 08 20:48:46 GMT 2024","Fri Nov 08 20:48:48 GMT 2024","2286","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Fri Nov 08 20:48:28 GMT 2024","Fri Nov 08 20:48:30 GMT 2024","1501","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Fri Nov 08 20:48:32 GMT 2024","Fri Nov 08 20:48:34 GMT 2024","1073","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
